,tran,rot,sep,Relation,test,TTT,TTT++,TENT,SHOT,SHOT_div,SHOT_pseudo,pseudo+FA
0,0.1,10,-0.3,0.896000028,0.981999993,0.987999976,1,0.998000026,1,0.995999992,0.998000026,0.998000026
1,0.1,10,-0.4,0.871999979,0.998000026,0.998000026,0.998000026,0.998000026,0.998000026,0.998000026,0.998000026,0.998000026
2,0.1,10,-0.5,0.833999991,0.995999992,0.995999992,0.998000026,0.995999992,0.995999992,0.995999992,0.995999992,0.998000026
3,0.1,10,-0.6,0.796000004,0.898000002,0.972000003,0.995999992,0.987999976,0.995999992,0.959999979,0.962000012,0.973999977
4,0.1,10,-0.7,0.765999973,0.878000021,0.959999979,0.994000018,0.987999976,0.987999976,0.931999981,0.938000023,0.93599999
5,0.1,10,-0.8,0.744000018,0.832000017,0.939999998,0.939999998,0.917999983,0.976000011,0.906000018,0.917999983,0.976000011
6,0.1,30,-0.3,0.896000028,0.79400003,0.864000022,0.944000006,0.864000022,0.864000022,0.836000025,0.966000021,0.934000015
7,0.1,30,-0.4,0.871999979,0.800000012,0.962000012,0.994000018,0.889999986,0.888000011,0.839999974,0.825999975,0.931999981
8,0.1,30,-0.5,0.833999991,0.861999989,0.95599997,0.977999985,0.861999989,0.870000005,0.861999989,0.966000021,0.870000005
9,0.1,30,-0.6,0.796000004,0.643999994,0.776000023,0.889999986,0.643999994,0.643999994,0.723999977,0.893999994,0.762000024
10,0.1,30,-0.7,0.765999973,0.632000029,0.921999991,0.980000019,0.634000003,0.634000003,0.634000003,0.634000003,0.744000018
11,0.1,30,-0.8,0.744000018,0.60799998,0.629999995,0.811999977,0.60799998,0.610000014,0.610000014,0.662,0.791999996
12,0.1,50,-0.3,0.896000028,0.527999997,0.532000005,0.838,0.527999997,0.527999997,0.657999992,0.64200002,0.720000029
13,0.1,50,-0.4,0.871999979,0.526000023,0.924000025,0.882000029,0.526000023,0.526000023,0.582000017,0.526000023,0.726000011
14,0.1,50,-0.5,0.833999991,0.688000023,0.688000023,0.930000007,0.786000013,0.783999979,0.688000023,0.921999991,0.850000024
15,0.1,50,-0.6,0.796000004,0.486000001,0.54400003,0.819999993,0.523999989,0.486000001,0.486000001,0.486000001,0.800000012
16,0.1,50,-0.7,0.765999973,0.465999991,0.822000027,0.818000019,0.523999989,0.465999991,0.467999995,0.85799998,0.702000022
17,0.1,50,-0.8,0.744000018,0.418000013,0.546000004,0.769999981,0.505999982,0.418000013,0.418000013,0.418000013,0.805999994
18,0.1,70,-0.3,0.896000028,0.398000002,0.477999985,0.864000022,0.40200001,0.398000002,0.398000002,0.405999988,0.808000028
19,0.1,70,-0.4,0.871999979,0.39199999,0.722000003,0.896000028,0.40200001,0.400000006,0.39199999,0.39199999,0.74000001
20,0.1,70,-0.5,0.833999991,0.363999993,0.492000014,0.90200001,0.379999995,0.398000002,0.372000009,0.363999993,0.694000006
21,0.1,70,-0.6,0.796000004,0.31400001,0.501999974,0.751999974,0.404000014,0.31400001,0.31400001,0.504000008,0.5
22,0.1,70,-0.7,0.765999973,0.280000001,0.444000006,0.777999997,0.286000013,0.280000001,0.296000004,0.716000021,0.546000004
23,0.1,70,-0.8,0.744000018,0.257999986,0.421999991,0.811999977,0.261999995,0.25999999,0.289999992,0.30399999,0.572000027
24,0.1,90,-0.3,0.896000028,0.289999992,0.305999994,0.736000001,0.310000002,0.294,0.289999992,0.289999992,0.579999983
25,0.1,90,-0.4,0.871999979,0.275999993,0.460000008,0.684000015,0.319999993,0.300000012,0.275999993,0.275999993,0.508000016
26,0.1,90,-0.5,0.833999991,0.208000004,0.656000018,0.851999998,0.214000002,0.208000004,0.217999995,0.316000015,0.492000014
27,0.1,90,-0.6,0.796000004,0.208000004,0.449999988,0.656000018,0.208000004,0.208000004,0.236000001,0.518000007,0.497999996
28,0.1,90,-0.7,0.765999973,0.216000006,0.30399999,0.588,0.224000007,0.224000007,0.236000001,0.568000019,0.69
29,0.1,90,-0.8,0.744000018,0.224000007,0.354000002,0.583999991,0.224000007,0.228,0.236000001,0.277999997,0.526
30,0.2,10,-0.3,0.896000028,0.865999997,0.867999971,0.994000018,0.865999997,0.987999976,0.970000029,0.958000004,0.981999993
31,0.2,10,-0.4,0.871999979,0.930000007,0.967999995,0.995999992,1,0.998000026,0.980000019,0.967999995,0.998000026
32,0.2,10,-0.5,0.833999991,0.79400003,0.913999975,0.994000018,0.79400003,0.952000022,0.878000021,0.870000005,0.89200002
33,0.2,10,-0.6,0.796000004,0.731999993,0.853999972,0.980000019,0.731999993,0.765999973,0.810000002,0.838,0.878000021
34,0.2,10,-0.7,0.765999973,0.713999987,0.89200002,0.972000003,0.713999987,0.722000003,0.815999985,0.920000017,0.864000022
35,0.2,10,-0.8,0.744000018,0.684000015,0.889999986,0.903999984,0.69599998,0.684000015,0.762000024,0.684000015,0.885999978
36,0.2,30,-0.3,0.896000028,0.703999996,0.708000004,0.966000021,0.703999996,0.703999996,0.829999983,0.952000022,0.944000006
37,0.2,30,-0.4,0.871999979,0.787999988,0.79400003,0.958000004,0.787999988,0.952000022,0.885999978,0.970000029,0.917999983
38,0.2,30,-0.5,0.833999991,0.689999998,0.69599998,0.879999995,0.689999998,0.699999988,0.699999988,0.870000005,0.949999988
39,0.2,30,-0.6,0.796000004,0.684000015,0.68599999,0.833999991,0.684000015,0.684000015,0.684000015,0.846000016,0.874000013
40,0.2,30,-0.7,0.765999973,0.660000026,0.691999972,0.69599998,0.663999975,0.662,0.662,0.662,0.861999989
41,0.2,30,-0.8,0.744000018,0.629999995,0.825999975,0.744000018,0.638000011,0.629999995,0.629999995,0.629999995,0.720000029
42,0.2,50,-0.3,0.896000028,0.575999975,0.582000017,0.921999991,0.592000008,0.575999975,0.575999975,0.575999975,0.765999973
43,0.2,50,-0.4,0.871999979,0.628000021,0.925999999,0.921999991,0.628000021,0.628000021,0.663999975,0.628000021,0.643999994
44,0.2,50,-0.5,0.833999991,0.572000027,0.582000017,0.754000008,0.588,0.572000027,0.572000027,0.851999998,0.610000014
45,0.2,50,-0.6,0.796000004,0.565999985,0.578000009,0.708000004,0.583999991,0.565999985,0.565999985,0.565999985,0.596000016
46,0.2,50,-0.7,0.765999973,0.55400002,0.561999977,0.691999972,0.555999994,0.55400002,0.55400002,0.55400002,0.5
47,0.2,50,-0.8,0.744000018,0.527999997,0.586000025,0.600000024,0.533999979,0.527999997,0.527999997,0.527999997,0.691999972
48,0.2,70,-0.3,0.896000028,0.442000002,0.671999991,0.884000003,0.442000002,0.44600001,0.44600001,0.44600001,0.620000005
49,0.2,70,-0.4,0.871999979,0.442000002,0.492000014,0.888000011,0.442000002,0.444000006,0.444000006,0.444000006,0.888000011
50,0.2,70,-0.5,0.833999991,0.448000014,0.477999985,0.79400003,0.451999992,0.448000014,0.448000014,0.448000014,0.649999976
51,0.2,70,-0.6,0.796000004,0.437999994,0.5,0.691999972,0.456,0.44600001,0.437999994,0.437999994,0.589999974
52,0.2,70,-0.7,0.765999973,0.43599999,0.43599999,0.629999995,0.451999992,0.444000006,0.43599999,0.43599999,0.74000001
53,0.2,70,-0.8,0.744000018,0.414000005,0.476000011,0.649999976,0.439999998,0.425999999,0.416000009,0.416000009,0.779999971
54,0.2,90,-0.3,0.896000028,0.344000012,0.354000002,0.777999997,0.35800001,0.34799999,0.345999986,0.345999986,0.648000002
55,0.2,90,-0.4,0.871999979,0.349999994,0.365999997,0.824000001,0.35800001,0.351999998,0.349999994,0.349999994,0.674000025
56,0.2,90,-0.5,0.833999991,0.344000012,0.504000008,0.610000014,0.354000002,0.344000012,0.344000012,0.540000021,0.614000022
57,0.2,90,-0.6,0.796000004,0.338,0.477999985,0.579999983,0.389999986,0.34799999,0.338,0.536000013,0.60799998
58,0.2,90,-0.7,0.765999973,0.331999987,0.363999993,0.477999985,0.363999993,0.361999989,0.331999987,0.344000012,0.593999982
59,0.2,90,-0.8,0.744000018,0.310000002,0.404000014,0.486000001,0.368000001,0.368000001,0.310000002,0.310000002,0.5
60,0.3,10,-0.3,0.896000028,0.783999979,0.797999978,0.959999979,0.783999979,0.860000014,0.832000017,0.856000006,0.758000016
61,0.3,10,-0.4,0.871999979,0.748000026,0.885999978,0.998000026,0.75999999,0.754000008,0.833999991,0.819999993,0.921999991
62,0.3,10,-0.5,0.833999991,0.694000006,0.860000014,0.874000013,0.702000022,0.722000003,0.79400003,0.836000025,0.991999984
63,0.3,10,-0.6,0.796000004,0.653999984,0.779999971,0.720000029,0.662,0.684000015,0.75999999,0.783999979,0.79400003
64,0.3,10,-0.7,0.765999973,0.628000021,0.832000017,0.912,0.629999995,0.649999976,0.722000003,0.64200002,0.615999997
65,0.3,10,-0.8,0.744000018,0.610000014,0.81400001,0.611999989,0.611999989,0.635999978,0.660000026,0.628000021,0.864000022
66,0.3,30,-0.3,0.896000028,0.720000029,0.726000011,0.939999998,0.722000003,0.720000029,0.722000003,0.906000018,0.987999976
67,0.3,30,-0.4,0.871999979,0.717999995,0.811999977,0.916000009,0.717999995,0.720000029,0.727999985,0.717999995,0.681999981
